departamento,fecha,precip_mm,temp_celsius
Huila,2020-06-06,7.264373299284981,17.619610238626766
Huila,2020-06-07,3.454366597202569,18.0183916364172
Huila,2020-06-08,1.8619426817416815,18.0137993785486
Huila,2020-06-09,0.0,18.23573201781778
Huila,2020-06-10,0.0289212770589649,18.16685657145356
Huila,2020-06-11,2.888425532429675,17.732331085062917
Huila,2020-06-12,8.236064320518393,17.352461850044566
Huila,2020-06-13,7.949754849088047,18.089947988129385
Huila,2020-06-14,18.057500989816997,17.32657904485024
Huila,2020-06-15,3.895493506009936,17.00960015646506
Huila,2020-06-16,0.0,17.654894934107215
Huila,2020-06-17,1.367115223782499,17.503792130540088
Huila,2020-06-18,0.9847392154324334,18.043928654325093
Huila,2020-06-19,3.938852861730461,18.006210034112485
Huila,2020-06-20,0.268209708040637,17.873203456224893
Huila,2020-06-21,3.133733731491017,17.106875528403272
Huila,2020-06-22,0.5232974270180807,17.378722016924122
Huila,2020-06-23,1.0829868021096385,17.538652697186393
Huila,2020-06-24,4.797843811598672,18.122212081725632
Huila,2020-06-25,0.6428900766375233,18.29241037207037
Huila,2020-06-26,0.6876351916846865,18.07203411151196
Huila,2020-06-27,9.545660506975864,18.11802237699224
Huila,2020-06-28,2.41897183727388,17.851782840685264
Huila,2020-06-29,7.158976468855212,17.81303665686603
Huila,2020-06-30,0.0,18.160683511719544
Huila,2020-07-01,0.5677957777469459,18.369912021775463
Huila,2020-07-02,34.72120792772821,17.589286747592183
Huila,2020-07-03,4.259874363288692,17.884993424057868
Huila,2020-07-04,24.621824605988127,17.580040791459773
Huila,2020-07-05,5.41872284933498,17.75086762697914
Huila,2020-07-06,5.47588208348715,17.553452088744955
Huila,2020-07-07,0.0396286786764069,18.012125038475155
Huila,2020-07-08,0.0,18.03149069363677
Huila,2020-07-09,1.3287892654556663,17.690188956641354
Huila,2020-07-10,0.0922553256961995,17.12687475709993
Huila,2020-07-11,4.928716820123125,17.460765029045596
Huila,2020-07-12,0.9646856686094876,17.643108542765184
Huila,2020-07-13,3.685403003445165,17.71357212372755
Huila,2020-07-14,9.034893938487462,17.47827397654754
Huila,2020-07-15,0.7592973433999922,16.969054379316788
Huila,2020-07-16,1.1279542563771496,17.212111999827094
Huila,2020-07-17,1.2822642485649645,16.736416544233652
Huila,2020-07-18,0.485784819089927,17.22388920263133
Huila,2020-07-19,2.719319334904591,17.530383273536252
