departamento,fecha,precip_mm
Vichada,2019-01-13,0.9117598075123685
Amazonas,2019-01-14,3.9726734937991113
Antioquia,2019-01-14,0.5518990662676663
Arauca,2019-01-14,0.0
Atlantico,2019-01-14,0.0
Bolivar,2019-01-14,0.26503721312532763
Boyaca,2019-01-14,0.3393753823287355
Buenaventura,2019-01-14,0.0
Caldas,2019-01-14,0.8380958525054247
Caqueta,2019-01-14,2.321937810980216
Casanare,2019-01-14,0.0
Cauca,2019-01-14,11.941280172761774
Cesar,2019-01-14,0.0
Choco,2019-01-14,5.531288770558358
Cordoba,2019-01-14,0.0
Cundinamarca,2019-01-14,0.11213925117774413
Guainia,2019-01-14,3.7778373635581137
Guajira,2019-01-14,0.0
Guaviare,2019-01-14,0.2854083589868855
Huila,2019-01-14,1.5916571575410206
Magdalena,2019-01-14,0.03767365600965985
Meta,2019-01-14,0.0
Narino,2019-01-14,13.746870154549937
Norte De Santander,2019-01-14,0.0
Putumayo,2019-01-14,11.619003359865816
Quindio,2019-01-14,0.0
Risaralda,2019-01-14,2.8818344107862806
San Andres Y Providencia,2019-01-14,
Santander,2019-01-14,0.726782555411208
Sucre,2019-01-14,0.0
Tolima,2019-01-14,1.7927343823083493
Valle Del Cauca,2019-01-14,0.3894373852670242
Vaupes,2019-01-14,3.229809170150651
Vichada,2019-01-14,0.8012457490824847
Amazonas,2019-01-15,6.000921493694063
Antioquia,2019-01-15,0.5203504353677186
Arauca,2019-01-15,0.0
Atlantico,2019-01-15,0.0
Bolivar,2019-01-15,0.04433441236882325
Boyaca,2019-01-15,1.1118300363487006
Buenaventura,2019-01-15,0.0
Caldas,2019-01-15,4.7393256063802705
Caqueta,2019-01-15,0.3085944576163137
Casanare,2019-01-15,0.0
Cauca,2019-01-15,0.623525180163005
Cesar,2019-01-15,0.0
Choco,2019-01-15,0.5730003827566845
Cordoba,2019-01-15,0.02194039771849472
Cundinamarca,2019-01-15,0.7465313233560589
Guainia,2019-01-15,2.4581776619316558
Guajira,2019-01-15,0.0
Guaviare,2019-01-15,0.5630066218159312
Huila,2019-01-15,0.0
Magdalena,2019-01-15,0.0
Meta,2019-01-15,0.0
Narino,2019-01-15,0.2723102682750769
Norte De Santander,2019-01-15,0.8464531104153098
Putumayo,2019-01-15,0.0
Quindio,2019-01-15,0.0
Risaralda,2019-01-15,0.0
San Andres Y Providencia,2019-01-15,
Santander,2019-01-15,0.5751053107185908
Sucre,2019-01-15,0.0
Tolima,2019-01-15,0.036902062655713073
Valle Del Cauca,2019-01-15,0.13261591917573787
Vaupes,2019-01-15,3.51393366403383
Vichada,2019-01-15,0.03874019699229005
Amazonas,2019-01-16,16.00180749749255
Antioquia,2019-01-16,2.121748803336881
Arauca,2019-01-16,0.13433917635116038
Atlantico,2019-01-16,0.0
Bolivar,2019-01-16,0.10283932980877251
