departamento,fecha,temp_celsius
Norte De Santander,2024-06-05,21.791816269802936
Putumayo,2024-06-05,21.571597846448533
Quindio,2024-06-05,17.190635562673457
Risaralda,2024-06-05,18.38786693927897
San Andres Y Providencia,2024-06-05,
Santander,2024-06-05,21.860661189454124
Sucre,2024-06-05,27.24607306394637
Tolima,2024-06-05,18.70299982338886
Valle Del Cauca,2024-06-05,19.67302056632211
Vaupes,2024-06-05,23.87759962681889
Vichada,2024-06-05,25.093695819096364
Amazonas,2024-06-06,23.804719817104274
Antioquia,2024-06-06,21.928211147576764
Arauca,2024-06-06,25.197879906323067
Atlantico,2024-06-06,27.90703462640053
Bolivar,2024-06-06,25.664515401010284
Boyaca,2024-06-06,15.847502927442166
Buenaventura,2024-06-06,
Caldas,2024-06-06,19.33838139431334
Caqueta,2024-06-06,22.029841105212586
Casanare,2024-06-06,25.379430429972132
Cauca,2024-06-06,18.127928238566138
Cesar,2024-06-06,24.969748649060353
Choco,2024-06-06,23.854740183923326
Cordoba,2024-06-06,26.000391485143307
Cundinamarca,2024-06-06,17.4112626911391
Guainia,2024-06-06,25.005353495108576
Guajira,2024-06-06,27.02056372332512
Guaviare,2024-06-06,23.54179055062433
Huila,2024-06-06,16.850241956837028
Magdalena,2024-06-06,25.43296609357692
Meta,2024-06-06,23.067843388076373
Narino,2024-06-06,20.158474592151727
Norte De Santander,2024-06-06,21.810950376960797
Putumayo,2024-06-06,21.330051382641443
Quindio,2024-06-06,16.720099842602625
Risaralda,2024-06-06,18.03682470465815
San Andres Y Providencia,2024-06-06,
Santander,2024-06-06,21.586703700970983
Sucre,2024-06-06,26.789089795168973
Tolima,2024-06-06,19.117138706075085
Valle Del Cauca,2024-06-06,19.54715390803343
Vaupes,2024-06-06,24.02526542872229
Vichada,2024-06-06,25.704088870858143
Amazonas,2024-06-07,24.29402624494135
Antioquia,2024-06-07,22.34351069562046
Arauca,2024-06-07,24.582078273030408
Atlantico,2024-06-07,27.751466628119122
Bolivar,2024-06-07,26.2474586021682
Boyaca,2024-06-07,15.58683969917189
Buenaventura,2024-06-07,
Caldas,2024-06-07,19.79828118275669
Caqueta,2024-06-07,23.155121648888695
Casanare,2024-06-07,25.27109528147867
Cauca,2024-06-07,18.55881060898598
Cesar,2024-06-07,25.253688076063476
Choco,2024-06-07,24.61804105264389
Cordoba,2024-06-07,26.434387422656055
Cundinamarca,2024-06-07,17.44561656549649
Guainia,2024-06-07,25.1300445759072
Guajira,2024-06-07,26.91991824183513
Guaviare,2024-06-07,24.61503245467959
Huila,2024-06-07,17.440859714094223
Magdalena,2024-06-07,25.40526193798631
Meta,2024-06-07,23.914063353936577
Narino,2024-06-07,20.518087765049692
Norte De Santander,2024-06-07,21.979556340284496
Putumayo,2024-06-07,21.473378183136152
Quindio,2024-06-07,16.92554002772835
Risaralda,2024-06-07,18.33273283068865
San Andres Y Providencia,2024-06-07,
Santander,2024-06-07,21.880083332572628
Sucre,2024-06-07,27.320296818181383
Tolima,2024-06-07,19.648631729982068
Valle Del Cauca,2024-06-07,19.79171923280206
Vaupes,2024-06-07,24.997832656437716
Vichada,2024-06-07,24.96736970837034
Amazonas,2024-06-08,24.422739388209262
Antioquia,2024-06-08,22.922387101413303
Arauca,2024-06-08,24.368777298111546
Atlantico,2024-06-08,28.18337368781798
Bolivar,2024-06-08,26.769675127590922
Boyaca,2024-06-08,15.828951403408015
Buenaventura,2024-06-08,
Caldas,2024-06-08,19.896923646429652
Caqueta,2024-06-08,23.268264729050433
Casanare,2024-06-08,25.420370379087004
Cauca,2024-06-08,18.831818404293077
Cesar,2024-06-08,25.612983645786024
Choco,2024-06-08,25.03542938076932
Cordoba,2024-06-08,27.153117992176135
Cundinamarca,2024-06-08,17.768212354597818
Guainia,2024-06-08,24.034205316958626
Guajira,2024-06-08,27.1288553219094
Guaviare,2024-06-08,24.005116528359256
Huila,2024-06-08,17.492629447730558
Magdalena,2024-06-08,25.969707890723598
Meta,2024-06-08,23.8960486036241
Narino,2024-06-08,20.755527752640553
Norte De Santander,2024-06-08,22.012125746056203
Putumayo,2024-06-08,22.81966232537376
Quindio,2024-06-08,16.828250773588696
Risaralda,2024-06-08,18.59609518316182
San Andres Y Providencia,2024-06-08,
Santander,2024-06-08,22.265618098223246
Sucre,2024-06-08,27.91523084263116
Tolima,2024-06-08,19.560295099783293
Valle Del Cauca,2024-06-08,20.06800672062386
Vaupes,2024-06-08,23.908217702072932
Vichada,2024-06-08,24.726109969674766
Amazonas,2024-06-09,24.942200305197375
Antioquia,2024-06-09,21.648551295074213
Arauca,2024-06-09,24.56544412303271
Atlantico,2024-06-09,27.6917023894075
Bolivar,2024-06-09,25.470310380294478
Boyaca,2024-06-09,15.6590373010092
Buenaventura,2024-06-09,
Caldas,2024-06-09,18.814604466301986
Caqueta,2024-06-09,23.565254320384195
Casanare,2024-06-09,25.462699191140427
Cauca,2024-06-09,18.600653432329086
Cesar,2024-06-09,25.07808517844625
Choco,2024-06-09,24.34202768992227
Cordoba,2024-06-09,25.64151706097034
Cundinamarca,2024-06-09,17.454031839145433
Guainia,2024-06-09,24.380143407361818
Guajira,2024-06-09,27.388412252799032
Guaviare,2024-06-09,24.659337236140484
Huila,2024-06-09,17.43160143691859
Magdalena,2024-06-09,25.323710863523512
Meta,2024-06-09,24.041184434051917
Narino,2024-06-09,20.502747414356552
Norte De Santander,2024-06-09,21.882435159105864
Putumayo,2024-06-09,23.341717511176
Quindio,2024-06-09,16.140721286337513
Risaralda,2024-06-09,17.866760708554935
San Andres Y Providencia,2024-06-09,
Santander,2024-06-09,21.37974312607531
Sucre,2024-06-09,26.39864824433467
Tolima,2024-06-09,19.384169425908134
Valle Del Cauca,2024-06-09,19.761815199758516
Vaupes,2024-06-09,24.25884519410504
Vichada,2024-06-09,24.987928012184916
Amazonas,2024-06-10,24.974347819839178
Antioquia,2024-06-10,22.16558801066086
Arauca,2024-06-10,24.711462670788066
Atlantico,2024-06-10,27.33860569665655
Bolivar,2024-06-10,26.234025326550416
Boyaca,2024-06-10,15.28236311427996
Buenaventura,2024-06-10,
Caldas,2024-06-10,19.402366045880346
